GEOID,median_income,total_population,pct_nonwhite,pct_no_vehicle,pct_renter
17031051200,174598.0,1565,22.619808306709267,17.209302325581397,53.48837209302325
17031051300,199890.0,3028,25.165125495376483,7.51131221719457,24.34389140271493
17031051400,150357.0,2673,36.43845866068089,15.44256120527307,41.33709981167608
17031060100,145313.0,3147,24.499523355576734,20.88854247856586,35.46375681995323
17031060200,91081.0,2179,29.004130335016065,21.070234113712374,62.04013377926422
17031060300,139306.0,2880,24.201388888888886,28.348397699260474,57.68282662284305
17031060400,154038.0,3664,20.960698689956338,26.602564102564102,51.217948717948715
17031060500,60987.0,1212,25.82508250825083,48.60088365243004,74.8159057437408
17031060800,83534.0,5204,37.720983858570335,37.22192078133478,56.59251220835594
17031060900,86987.0,7241,24.54080928048612,43.32787556283259,50.1432664756447
17031061000,116500.0,2221,31.5173345339937,35.34798534798535,74.81684981684981
17031061100,123750.0,1368,27.119883040935676,36.94181326116374,68.74154262516915
17031061200,118398.0,2065,28.57142857142857,30.44982698961938,60.09227220299884
17031061500,126101.0,1843,20.23874118285405,23.751387347391788,65.92674805771365
17031061800,76393.0,1144,31.73076923076923,59.86577181208054,79.73154362416108
17031061901,67063.0,3489,28.86213814846661,69.46651532349603,77.22285281876655
17031061902,92011.0,4758,23.308112652374945,47.84408416695412,67.7819937909624
17031062000,133514.0,2963,23.084711441106986,47.632629777524244,77.23901882487165
17031062100,92313.0,3602,21.432537479178237,50.64562410329986,75.32281205164992
17031062200,172841.0,3226,20.02479851208927,18.609703113685736,45.11223750905141
17031062300,244286.0,1567,21.633694958519467,16.89419795221843,40.955631399317404
17031062400,158542.0,1763,19.739081111741353,27.202072538860104,41.58031088082901
17031062500,169917.0,1463,25.4272043745728,19.530102790014684,32.8928046989721
17031062600,177045.0,2362,25.529212531752755,11.935483870967742,32.365591397849464
17031062700,136667.0,2898,25.18978605935127,27.357142857142858,59.07142857142858
17031062800,166741.0,3766,23.26075411577271,14.16613007083065,53.76690276883451
17031062900,181429.0,4325,30.312138728323703,20.621181262729124,52.24032586558045
17031063000,103250.0,3017,21.942326814716605,42.096412556053814,67.99327354260089
17031063100,97347.0,2357,20.534577853203228,59.20398009950249,72.636815920398
17031063200,77183.0,6481,25.057861441135632,56.88453159041394,68.58387799564271
17031063301,69188.0,2912,29.155219780219777,65.36368134586839,84.06729341909946
17031063302,96364.0,4152,21.84489402697495,54.13165266106442,68.38235294117648
17031063303,104813.0,1281,19.28181108508977,51.03373231773667,46.78998911860718
17031063400,116765.0,2395,22.171189979123174,40.20771513353116,78.26409495548961
17031070101,96944.0,4179,21.12945680784877,48.456325301204814,61.37048192771084
17031070102,106062.0,2969,21.690804984843382,44.5141065830721,61.442006269592476
17031070103,76477.0,1449,30.779848171152523,66.63724624889673,95.67519858781995
17031070200,101992.0,3801,28.045251249671143,35.347288296860135,68.1255946717412
17031070300,178750.0,3618,22.305140961857383,34.57606734816597,58.989777510523155
17031070400,205772.0,3282,19.287020109689212,28.727025187202177,52.688904016337645
17031070500,194408.0,3138,20.458891013384317,22.306525037936268,43.17147192716237
17031070600,210469.0,3316,17.973462002412543,9.450038729666925,38.96204492641363
17031070700,146806.0,3673,40.593520283147285,18.563218390804597,47.01149425287356
17031071000,186518.0,4289,20.494287712753557,22.051773729626078,42.857142857142854
17031071100,212677.0,3279,23.025312595303447,32.18390804597701,55.702917771883286
17031071200,131163.0,2696,26.632047477744802,32.965299684542586,61.987381703470035
17031071300,127083.0,3894,28.197226502311246,31.329862754377665,44.4391859914813
17031071400,123070.0,4540,18.524229074889863,37.553648068669524,52.539341917024316
